,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
1,13,1,False,R,2.449,3.001,0.977,1.011,1.02,1.046,2.106,0.976,1.024,1.064,0.812,0.482,2.09,2.223,2.216
2,11,2,False,R,2.395,3.039,3.094,1.438,1.584,1.002,2.169,2.247,1.554,1.584,0.821,0.204,0.301,1.931,1.881
3,14,3,False,R,2.216,2.997,3.018,3.044,1.664,0.794,2.239,2.258,2.381,1.785,1.026,0.292,0.162,0.166,1.929
4,1,1,True,R,2.464,0.951,0.937,1.109,1.407,1.181,0.944,0.984,1.1,1.352,0.757,2.282,2.678,2.66,2.609
5,2,2,True,R,3.043,1.445,1.372,1.447,2.103,1.954,1.456,1.262,1.323,1.607,0.07,2.449,2.63,2.699,2.37
6,2,3,False,R,3.047,1.299,1.306,1.384,1.787,1.847,1.451,1.283,1.333,1.615,0.063,2.556,2.71,2.73,2.458
7,4,4,True,R,2.89,2.969,2.891,1.494,1.894,1.583,2.113,2.164,1.593,1.745,0.307,0.179,0.233,2.215,2.131
8,0,2,False,R,2.19,2.843,1.185,1.003,2.914,0.981,2.077,1.313,1.099,2.319,1.058,0.207,2.297,2.23,0.075
9,0,2,False,R,2.227,2.973,1.127,0.96,2.963,0.795,2.069,1.248,1.062,2.476,1.03,0.173,2.004,1.948,0.069
10,0,3,False,R,2.256,2.941,1.082,1.13,2.919,0.793,2.086,1.171,1.248,2.452,0.99,0.237,1.957,2.01,0.058
